day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
04/01/2016;20h30;201;3.3;16.9;mesure;S2;0;0
04/01/2016;20h45;200;3.1;16.9;mesure;S2;0;0
04/01/2016;21h00;184;3.5;16.9;mesure;S2;0;0
04/01/2016;21h15;186;3.3;16.8;mesure;S2;0;0
04/01/2016;21h30;185;4.4;16.8;mesure;S1;0;0
04/01/2016;21h45;190;3.9;17;mesure;S2;0;0
04/01/2016;22h00;190;4.3;17.3;mesure;S1;0;0
04/01/2016;22h15;194;3.8;17.3;mesure;S2;0;0
04/01/2016;22h30;191;3.6;17.2;mesure;S2;0;0
04/01/2016;22h45;204;3.1;17.2;mesure;S2;0;0
04/01/2016;23h00;217;3.4;17.2;mesure;S2;0;0
04/01/2016;23h15;197;3.6;17.2;mesure;S2;0;0
04/01/2016;23h30;216;3.5;17.1;mesure;S2;0;0
04/01/2016;23h45;224;3.8;17.2;mesure;S2;0;0
05/01/2016;00h00;239;4.9;17.2;mesure;S1;0;0
05/01/2016;00h15;226;5.8;16.9;mesure;S1;0;1.6
05/01/2016;00h30;210;4.8;16.6;mesure;S1;0;0
05/01/2016;00h45;174;4.4;16.5;mesure;S1;0;0
05/01/2016;01h00;195;4.7;16.7;mesure;S1;0;0
05/01/2016;01h15;202;4.3;16.7;mesure;S1;0;0
05/01/2016;01h30;200;4.2;16.7;mesure;S1;0;0
05/01/2016;01h45;208;4.8;16.7;mesure;S1;0;0
05/01/2016;02h00;213;4;16.8;mesure;S1;0;0
05/01/2016;02h15;209;3.6;16.9;mesure;S2;0;0
05/01/2016;02h30;218;4.1;16.9;mesure;S1;0;0
05/01/2016;02h45;236;4.1;17;mesure;S1;0;0
05/01/2016;03h00;209;4.6;17.1;mesure;S1;0;0
05/01/2016;03h15;220;5.3;17;mesure;S1;0;0
05/01/2016;03h30;216;5.4;17;mesure;S1;0;0
05/01/2016;03h45;212;5.8;16.9;mesure;S1;0;0
05/01/2016;04h00;217;6;16.8;mesure;S1;0;0
05/01/2016;04h15;202;4.8;16.6;mesure;S1;0;0
05/01/2016;04h30;206;4.9;16.4;mesure;S1;0;1.6
05/01/2016;04h45;200;5.3;16.6;mesure;S1;0;0
05/01/2016;05h00;197;5.2;16.7;mesure;S1;0;0
05/01/2016;05h15;199;5.9;16.8;mesure;S1;0;0
05/01/2016;05h30;210;4.9;16.8;mesure;S1;0;0
05/01/2016;05h45;212;5.2;16.7;mesure;S1;0;0
05/01/2016;06h00;217;5;16.7;mesure;S1;0;0
05/01/2016;06h15;209;5.1;16.7;mesure;S1;0;0
05/01/2016;06h30;212;4.9;16.7;mesure;S1;0;0
05/01/2016;06h45;208;4.5;16.7;mesure;S1;0;0
05/01/2016;07h00;263;3.7;16.8;mesure;S2;0;0
05/01/2016;07h15;233;4.3;16.7;mesure;S1;0;0
05/01/2016;07h30;221;5.1;16.9;mesure;S1;0;0
05/01/2016;07h45;212;4.2;16.9;mesure;S1;1;0
05/01/2016;08h00;228;4.8;17;mesure;S1;4;0
05/01/2016;08h15;225;4.5;17;mesure;S1;16;0
05/01/2016;08h30;240;3.8;16.9;mesure;S2;5;30.4
05/01/2016;08h45;306;2.8;16.4;mesure;S1;21;28.8
05/01/2016;09h00;46;1.7;16.1;mesure;S1;31;4.8
05/01/2016;09h15;89;1.2;16;mesure;S1;39;4.8
05/01/2016;09h30;125;2.1;15.8;mesure;S2;43;7.2
05/01/2016;09h45;128;4;16;mesure;S1;43;4.8
05/01/2016;10h00;173;2.1;16;mesure;S2;66;11.2
05/01/2016;10h15;254;2.5;16.3;mesure;S2;14;0
05/01/2016;10h30;260;2.2;16.3;mesure;S2;85;0
05/01/2016;10h45;270;3.1;16.3;mesure;S2;61;12
05/01/2016;11h00;290;3.2;16.2;mesure;S2;58;9.6
05/01/2016;11h15;314;3.6;15.9;mesure;S1;34;7.2
05/01/2016;11h30;328;3.1;15.5;mesure;S1;58;6.4
05/01/2016;11h45;329;1.5;15.6;mesure;S1;51;3.2
05/01/2016;12h00;17;1.5;15.7;mesure;S1;169;0
05/01/2016;12h15;320;1.9;16.1;mesure;S1;139;0
05/01/2016;12h30;326;2;16.5;mesure;S1;228;0
05/01/2016;12h45;28;3.1;16.6;mesure;S1;173;0
